id;name;image;text;cooking_time;author_id
1;Азу по-татарски;images/recipe01.jpg;Азу по-татарски. Одно из немногих блюд, удостоившихся в советской продуктовой традиции продажи с именной нарезкой.;4;100
2;Курица «Пикассо»;images/recipe02.jpg;Нарежьте болгарский перец кольцами (лучше выбрать трех разных цветов — это выглядит красочнее), предварительно удалив семена. Лук нарезать полукольцами, чеснок натереть на мелкой терке.;6;101
3;Картофель «Айдахо»;images/recipe03.jpg;Картофель «Айдахо» — один из самых часто приготовляемых картофельных гарниров в мире.;15;101
4;Гратен дофинуа;images/recipe04.jpg;Один из величайших гарниров в мировой кулинарии и, наверное, самый эффективный способ использования картошки. ;12;102
5;Курица в кисло-сладком соусе по-китайски;images/recipe05.jpg;Куриное филе нарезать тонкими полосками, сложить в миску, залить соевым соусом (примерно 6 столовых ложек) и немного поперчить.;23;102
6;Картофель, запеченный в мундире;images/recipe06.jpg;Ароматный, сытный, шипящий домашний картофель, фаршированный сметанно-беконной начинкой, — это очень простой и очень эффектный способ накормить большое количество человек, практически не потратив на готовку ни сил, ни времени.;25;104
7;Тушеная капуста;images/recipe07.jpg;Тушеная белокочанная капуста хороша сама по себе. Но если снабдить ее всеми прописанными в рецепте ингредиентами, да еще придать ей крепости с помощью пшеничной муки, получится и отличный яркий гарнир к красному мясу, и самодостаточная закуска, горячая или холодная.;12;104
8;Макароны, запеченные с помидорами, под сыром;images/recipe08.jpg;Сварите макароны, положите их на дно емкости для выпекания. Порежьте помидоры тонкими ломтиками и положите их на макароны.;11;103
9;Хек в зеленом чесночном соус;images/recipe09.jpg;Зеленый соус — смесь оливкового масла, чеснока и петрушки — главная основа для блюд из морепродуктов в испанской кухне.;10;103
10;Тушеная говядина;images/recipe10.jpg;Честная зимняя еда, которая может облагородить любой кусок не слишком нежной духовой говядины. Самые упорные части говяжьей туши на выходе получаются как раз самыми вкусными: в результате длительной термической нагрузки волокна размягчаются, но не теряют мясной насыщенности, а из-за обилия коллагеновых жилок восхитительно густеет соус.;7;100